BadeaID,Animal ID,ARunno,DWI
220509_1,220509_1,A22050901,nan
220509_4,220509_4,A22050904,nan
220509_6,220509_6,A22050906,nan
220509_7,220509_7,A22050907,nan
220509_8,220509_8,A22050908,nan
220509_10,220509_10,A22050910,nan
220509_11,220509_11,A22050911,nan
220509_12,220509_12,A22050912,nan
220509_13,220509_13,A22050913,nan
220509_14,220509_14,A22050914,nan
220606_1,220606_1,A22060601,nan
220606_2,220606_2,A22060602,nan
220606_3,220606_3,A22060603,nan
220606_4,220606_4,A22060604,nan
220606_5,220606_5,A22060605,nan
220606_6,220606_6,A22060606,nan
220606_7,220606_7,A22060615,nan
220606_8,220606_8,A22060616,nan
220606_9,220606_9,A22060617,nan
220606_10,220606_10,A22060618,nan
220606_11,220606_11,A22060619,nan
220606_12,220606_12,A22060620,nan
220606_13,220606_13,A22060621,nan
220606_14,220606_14,A22060622,nan
220808_1,220808_1,A22080818,nan
220808_2,220808_2,A22080819,nan
220808_3,220808_3,A22080820,nan
220808_4,220808_4,A22080821,nan
220808_5,220808_5,A22080822,nan
220808_6,220808_6,A22080806,nan
220808_7,220808_7,A22080807,nan
220808_8,220808_8,A22080808,nan
220808_9,220808_9,A22080809,nan
220808_10,220808_10,A22080810,nan
220808_11,220808_11,A22080811,nan
220808_12,220808_12,A22080812,nan
220808_13,220808_13,A22080813,nan
220808_14,220808_14,A22080814,nan
220808_15,220808_15,A22080815,nan
220808_16,220808_16,A22080816,nan
220808_17,220808_17,A22080817,nan
220404_1,220404_1,A22040401,nan
220404_2,220404_2,A22040402,nan
220404_3,220404_3,A22040403,nan
220404_4,220404_4,A22040404,nan
220404_5,220404_5,A22040405,nan
220404_6,220404_6,A22040406,nan
220404_7,220404_7,A22040407,nan
220404_8,220404_8,A22040408,nan
220404_9,220404_9,A22040409,nan
220404_10,220404_10,A22040410,nan
220404_11,220404_11,A22040411,nan
,220404_12,,
220404_13,220404_13,A22040413,nan
220307_1,220307_1,A22030701,nan
220307_2,220307_2,A22030702,nan
220307_4,220307_4,A22030704,nan
220307_5,220307_5,A22030705,nan
220307_6,220307_6,A22030706,nan
220307_7,220307_7,A22030707,nan
220307_8,220307_8,A22030708,nan
220307_9,220307_9,A22030709,nan
220307_10,220307_10,A22030710,nan
220307_11,220307_11,A22030711,nan
220307_12,220307_12,A22030712,nan
220307_13,220307_13,A22030713,nan
220307_14,220307_14,A22030714,nan
220307_15,220307_15,A22030715,nan
220307_16,220307_16,A22030716,nan
220307_17,220307_17,A22030717,nan
221101_1,221101_1,A22110101,nan
221101_2,221101_2,A22110102,nan
221101_3,221101_3,A22110103,nan
221101_4,221101_4,A22110104,nan
221101_5,221101_5,A22110105,nan
221101_6,221101_6,A22110106,nan
221101_7,221101_7,A22110107,nan
221101_8,221101_8,A22110108,nan
221101_9,221101_9,A22110109,nan
221101_10,221101_10,A22110110,nan
221101_11,221101_11,A22110111,nan
221101_12,221101_12,A22110112,nan
221101_13,221101_13,nan,nan
221101_14,221101_14,nan,nan
221101_15,221101_15,nan,nan
221101_16,221101_16,nan,nan
221101_17,221101_17,nan,nan
221101_18,221101_18,nan,nan
221101_19,221101_19,A22110119,nan
221101_20,221101_20,A22110120,nan
221101_21,221101_21,nan,nan
221101_22,221101_22,A22110122,nan
221101_23,221101_23,A22110123,nan
221101_24,221101_24,A22110124,nan
230508_1,230508_1,A23050801,nan
230508_2,230508_2,A23050802,nan
230508_3,230508_3,A23050803,nan
230508_4,230508_4,A23050804,nan
230508_5,230508_5,A23050805,nan
230508_6,230508_6,A23050806,nan
230508_7,230508_7,A23050807,nan
230508_8,230508_8,A23050808,nan
230508_9,230508_9,A23050809,nan
230508_10,230508_10,A23050810,nan
230508_11,230508_11,A23050811,nan
230508_12,230508_12,A23050812,nan
230508_13,230508_13,A23050813,nan
230508_14,230508_14,A23050814,nan
230508_15,230508_15,A23050815,nan
230508_16,230508_16,A23050816,nan
230508_17,230508_17,A23050817,nan
230508_18,230508_18,A23050818,nan
230508_19,230508_19,A23050819,nan
230410_1,230410_1,A23041001,nan
230410_2,230410_2,A23041002,nan
230410_3,230410_3,A23041003,nan
230410_4,230410_4,A23041004,nan
230410_5,230410_5,A23041005,nan
230410_6,230410_6,A23041006,nan
230410_7,230410_7,A23041007,nan
230410_8,230410_8,A23041008,nan
230410_9,230410_9,A23041009,nan
230410_10,230410_10,A23041010,nan
230410_11,230410_11,A23041011,nan
230410_12,230410_12,A23041012,nan
230410_13,230410_13,A23041013,nan
230410_14,230410_14,nan,nan
230410_15,230410_15,A23041015,nan
230410_16,230410_16,nan,nan
230410_17,230410_17,A23041017,nan
230410_18,230410_18,A23041018,nan
230410_19,230410_19,A23041019,nan
230410_20,230410_20,A23041020,nan
230313_1,230313_1,A23031301,nan
230313_2,230313_2,A23031302,nan
230313_3,230313_3,A23031303,nan
230313_4,230313_4,A23031304,nan
230313_5,230313_5,A23031305,nan
230313_6,230313_6,A23031306,nan
230313_7,230313_7,A23031307,nan
230313_8,230313_8,A23031308,nan
230313_9,230313_9,nan,nan
230313_10,230313_10,A23031322,nan
230313_11,230313_11,A23031323,nan
230313_12,230313_12,A23031324,nan
230313_13,230313_13,A23031325,nan
230313_14,230313_14,A23031326,nan
230313_15,230313_15,A23031327,nan
230313_16,230313_16,A23031328,nan
230313_17,230313_17,A23031329,nan
230313_18,230313_18,A23031330,nan
230605_1,230605_1,A23060501,nan
230605_2,230605_2,A23060502,nan
230605_3,230605_3,A23060503,nan
230605_4,230605_4,A23060504,nan
230605_5,230605_5,A23060505,nan
230605_6,230605_6,A23060506,nan
230605_7,230605_7,A23060507,nan
230605_8,230605_8,A23060508,nan
230605_10,230605_10,A23060510,nan
230605_11,230605_11,A23060511,nan
230605_12,230605_12,A23060512,nan
230605_13,230605_13,A23060513,nan
230605_14,230605_14,A23060514,nan
230605_15,230605_15,A23060515,nan
230605_16,230605_16,A23060516,nan
230605_17,230605_17,A23060517,nan
230605_18,230605_18,A23060518,nan
230605_19,230605_19,A23060519,nan
230605_20,230605_20,A23060520,nan
230605_21,230605_21,A23060521,nan
230605_22,230605_22,A23060522,nan
230605_23,230605_23,A23060523,nan
230605_24,230605_24,A23060524,nan
230605_25,230605_25,A23060525,nan
230213_1,230213_1,A23021301,nan
230213_2,230213_2,A23021302,nan
230213_3,230213_3,A23021303,nan
230213_4,230213_4,A23021304,nan
230213_5,230213_5,A23021305,nan
230213_6,230213_6,A23021306,nan
230213_7,230213_7,A23021307,nan
230213_8,230213_8,A23021308,nan
230213_9,230213_9,A23021329,nan
230213_10,230213_10,A23021330,nan
230213_11,230213_11,A23021321,nan
230213_12,230213_12,A23021322,nan
230213_13,230213_13,A23021323,nan
230213_14,230213_14,A23021324,nan
230213_15,230213_15,A23021325,nan
230213_16,230213_16,A23021326,nan
230213_17,230213_17,A23021327,nan
230213_18,230213_18,A23021328,nan
230213_19,230213_19,A23021331,nan
230213_20,230213_20,A23021332,nan
211122_1,211122_1,A21112201,N60064_m00-m48
211122_2,211122_2,A21112202,N60101_m00-m48
211122_3,211122_3,A21112203,nan
211122_4,211122_4,A21112204,N60093_m00-m48
211122_5,211122_5,A21112205,nan
211122_6,211122_6,A21112206,nan
211122_7,211122_7,A21112207,nan
211122_8,211122_8,A21112208,nan
211122_9,211122_9,A21112209,N60161_m00-m48
211122_10,211122_10,A21112210,N60167_m00-m48
211122_11,211122_11,A21112211,N60194_m00-m48
211122_12,211122_12,A21112212,nan
211122_13,211122_13,A21112213,nan
211122_14,211122_14,A21112214,nan
211122_15,211122_15,A21112215,nan
211122_16,211122_16,A21112216,nan
211122_23,211122_23,A21112223,nan
211122_24,211122_24,A21112224,nan
211122_25,211122_25,A21112225,nan
211122_26,211122_26,A21112226,nan
211122_27,211122_27,A21112227,nan
211122_28,211122_28,A21112228,nan
211004_1,211004_1,A21100401,N58997-m00-m48
211004_2,211004_2,A21100402,N58999-m00-m48
211004_3,211004_3,A21100403,N59010-m00-m48
211004_5,211004_5,A21100407,nan
211004_9,211004_9,A21100408,nan
211004_10,211004_10,A21100413,N59076_m00-m48
211004_11,211004_11,A21100414,N60157_m00-m48
211004_12,211004_12,A21100415,N60159_m00-m48
211004_13,211004_13,A21100416,nan
211004_14,211004_14,A21100409,N59078_m00-m48
211004_15,211004_15,A21100410,nan
211004_16,211004_16,A21100411,nan
211004_17,211004_17,A21100412,nan
211004_19,211004_19,A21100404,nan
211004_20,211004_20,A21100405,nan
211004_21,211004_21,A21100406,nan
,210809_1,,
210809_2,210809_2,A21080901,nan
210809_3,210809_3,A21080902,nan
210809_4,210809_4,A21080903,nan
210809_5,210809_5,A21080904,N60103_m00-m48
210809_6,210809_6,A21080905,N60097_m00-m48
210809_7,210809_7,A21080906,nan
210809_8,210809_8,A21080907,nan
210906_1,210906_1,A21090601,N60163_m00-m48
210906_2,210906_2,A21090602,N60169_m00-m48
210906_3,210906_3,A21090603,N60190_m00-m48
210906_4,210906_4,A21090604,N60188_m00-m48
