Animal ID,Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index,Genotype,Sex,Lifestyle,Diet,Weight,Age_Months
220509_1,VF060722_100312,day1_trial1,Chamber1,,,White House Light,60,266.3,88.77,88.77,4.09,0,315,APOE22,male,Sedentary,HFD,40,20.23333333
220509_4,VF060722_100312,day1_trial1,Chamber 2,,,White House Light,101,161.3,53.77,53.77,22.44,0,587,APOE22,female,Sedentary,HFD,27,20.23333333
220509_6,VF060722_101225,day1_trial2,Chamber1,,,White House Light,91,239.767,79.92,79.92,10.83,0,673,APOE22,female,Sedentary,HFD,42,20.23333333
220509_7,VF060722_101225,day1_trial2,Chamber 2,,,White House Light,64,251.9,83.97,83.97,7.62,0,645,APOE33,male,Sedentary,HFD,52,21.46666667
220509_8,VF060722_102126,day1_trial3,Chamber1,,,White House Light,18,297.633,99.21,99.21,0.37,0,50,APOE33,female,Sedentary,HFD,34,20.36666667
220509_10,VF060722_102126,day1_trial3,Chamber 2,,,White House Light,133,182.5,60.83,60.83,16.75,0,522,APOE33,female,Sedentary,HFD,28,20.36666667
220509_11,VF060722_103130,day1_trial4,Chamber1,,,White House Light,29,289.267,96.42,96.42,2,0,275,APOE44,female,Sedentary,Control,29,19.53333333
220509_12,VF060722_103130,day1_trial4,Chamber 2,,,White House Light,128,130.367,43.46,43.46,35.67,0,1429,APOE22,female,Sedentary,Control,25,13.4
220509_13,VF060722_103925,day1_trial5,Chamber1,,,White House Light,74,263.567,87.86,87.86,6.51,0,341,APOE22,female,Sedentary,Control,26,13.16666667
220509_14,VF060722_103925,day1_trial5,Chamber 2,,,White House Light,81,217.133,72.38,72.38,13.88,0,534,APOE22,female,Sedentary,Control,26,13.16666667
220606_1,VF070622_095141,day1_trial1,Chamber1,,,White House Light,49,287.6,95.87,95.87,1.17,0,78,APOE33HN,male,Sedentary,Control,33,19.4
220606_2,VF070622_095141,day1_trial1,Chamber 2,,,White House Light,85,252.733,84.24,84.24,4.58,0,281,APOE44HN,female,Sedentary,Control,30,20.63333333
220606_3,VF070622_100014,day1_trial2,Chamber1,,,White House Light,54,268.033,89.34,89.34,5.94,0,322,APOE44HN,female,Sedentary,Control,32,20.63333333
220606_4,VF070622_100014,day1_trial2,Chamber 2,,,White House Light,137,213.433,71.14,71.14,10.73,0,397,APOE44HN,female,Sedentary,Control,28,20.63333333
220606_5,VF070622_100826,day1_trial3,Chamber1,,,White House Light,86,257.333,85.78,85.78,6.98,0,340,APOE44HN,female,Sedentary,Control,32,20.6
220606_6,VF070622_100826,day1_trial3,Chamber 2,,,White House Light,118,190.933,63.64,63.64,12.15,0,425,APOE44HN,female,Sedentary,Control,26,20.6
220606_7,VF070622_101600,day1_trial4,Chamber1,,,White House Light,61,272.367,90.79,90.79,4.94,0,402,APOE44,male,Sedentary,HFD,40,20.6
