Animal ID,context_memory_day1_freezing,Genotype,Sex,Lifestyle,Diet,Weight,Age_Months,day0_sound1_freezing,day0_sound2_freezing,day0_sound3_freezing,learning_slope_sound1_to_3,learning_intercept,learning_r,learning_p,learning_mean_sound1_to_3,learning_auc_sound1_to_3,learning_delta_sound3_minus_sound1,day2_acclimation_freezing,day2_cstone_freezing,day2_exploration_freezing,cue_memory_delta_cstone_minus_acclimation,cue_memory_delta_cstone_minus_exploration,baseline_day0_sound1_freezing,baseline_day2_acclimation_freezing,PHENO_learning,PHENO_context_memory,PHENO_cue_memory,PHENO_cue_memory_vs_exploration
210809_1,99.7,APOE33HN,female,Sedentary,Control,22.3,14.77,44.67,91.78,98.44,26.884999999999998,24.52666666666667,0.917222449633273,0.26085175063958294,78.29666666666667,163.33499999999998,53.769999999999996,35.59,39.06,3.9,3.469999999999999,35.160000000000004,44.67,35.59,26.884999999999998,99.7,3.469999999999999,35.160000000000004
210809_2,76.79,APOE33HN,female,Sedentary,Control,22.3,14.77,90.33,99.78,100.0,4.835000000000001,87.03333333333333,0.8758162187687264,0.32064752764391163,96.70333333333333,194.945,9.670000000000002,53.87,64.52,13.04,10.649999999999999,51.48,90.33,53.87,4.835000000000001,76.79,10.649999999999999,51.48
210809_3,99.71,APOE33HN,female,Sedentary,Control,24.4,14.77,95.11,99.44,100.0,2.4450000000000003,93.29333333333334,0.9135841728183097,0.2666060636155866,98.18333333333334,196.995,4.890000000000001,24.83,59.04,15.16,34.21,43.879999999999995,95.11,24.83,2.4450000000000003,99.71,34.21,43.879999999999995
210809_4,97.28,APOE33HN,female,Sedentary,Control,30.1,14.43,99.11,100.0,100.0,0.4450000000000003,98.81333333333333,0.8660254037844387,0.33333333333333326,99.70333333333333,199.555,0.8900000000000006,2.35,21.44,2.53,19.09,18.91,99.11,2.35,0.4450000000000003,97.28,19.09,18.91
210809_5,98.63,APOE22HN,male,Sedentary,HFD,34.7,15.03,84.11,99.78,100.0,7.945,78.74,0.8719987793605295,0.32564724565395997,94.63,191.83499999999998,15.89,31.81,51.94,8.72,20.13,43.22,84.11,31.81,7.945,98.63,20.13,43.22
210809_6,97.4,APOE22HN,male,Sedentary,HFD,42.0,15.03,99.22,99.89,99.89,0.33500000000000085,98.99666666666667,0.8660254037844386,0.3333333333333334,99.66666666666667,199.445,0.6700000000000017,17.61,52.38,9.03,34.77,43.35,99.22,17.61,0.33500000000000085,97.4,34.77,43.35
210809_7,92.51,APOE22HN,male,Sedentary,HFD,30.9,15.03,88.44,97.22,97.44,4.5,85.36666666666667,0.8765398513372851,0.3196917369369078,94.36666666666667,190.16,9.0,14.63,35.92,5.16,21.29,30.76,88.44,14.63,4.5,92.51,21.29,30.76
210809_8,84.83,APOE22HN,male,Sedentary,HFD,44.9,15.03,98.11,100.0,100.0,0.9450000000000002,97.48,0.8660254037844385,0.33333333333333354,99.37,199.055,1.8900000000000006,12.44,34.39,2.14,21.950000000000003,32.25,98.11,12.44,0.9450000000000002,84.83,21.950000000000003,32.25
210906_1,98.09,APOE22HN,female,Sedentary,Control,23.5,14.33,11.67,25.67,49.33,18.83,-8.769999999999996,0.9892112885185915,0.09359898547663163,28.89,56.17,37.66,2.22,16.57,1.38,14.35,15.190000000000001,11.67,2.22,18.83,98.09,14.35,15.190000000000001
210906_10,78.94,APOE44,female ,Sedentary,HFD,42.7,14.5,2.56,68.89,89.11,43.275,-33.029999999999994,0.9558074015108966,0.18996884919062282,53.52,114.725,86.55,40.24,52.71,10.41,12.469999999999999,42.3,2.56,40.24,43.275,78.94,12.469999999999999,42.3
210906_11,54.11,APOE44,female ,Sedentary,HFD,29.4,14.5,11.56,8.22,41.11,14.774999999999997,-9.253333333333327,0.8162048791756443,0.39214808442408455,20.296666666666667,34.555,29.549999999999997,0.3,10.77,0.96,10.469999999999999,9.809999999999999,11.56,0.3,14.774999999999997,54.11,10.469999999999999,9.809999999999999
210906_12,75.98,APOE44,female,Sedentary,HFD,36.3,14.5,1.33,39.78,61.44,30.055,-25.92666666666667,0.9872448648375669,0.10178888576140659,34.18333333333333,71.16499999999999,60.11,10.28,64.11,18.18,53.83,45.93,1.33,10.28,30.055,75.98,53.83,45.93
210906_13,93.37,APOE44,female,Sedentary,HFD,33.0,14.5,6.78,32.22,63.44,28.329999999999995,-22.51333333333332,0.9982700911810038,0.0374515118869243,34.14666666666667,67.33,56.66,14.15,45.0,7.87,30.85,37.13,6.78,14.15,28.329999999999995,93.37,30.85,37.13
210906_14,52.14,APOE44,female,Sedentary,HFD,28.2,13.67,0.0,17.0,22.0,11.0,-9.0,0.953820966476532,0.194224113364004,13.0,28.0,22.0,1.7,24.76,3.53,23.060000000000002,21.23,0.0,1.7,11.0,52.14,23.060000000000002,21.23
210906_15,75.86,APOE44,female,Sedentary,HFD,35.2,13.7,17.11,36.44,39.11,11.0,8.886666666666667,0.9162543389429105,0.26239452748364167,30.886666666666667,64.55,22.0,8.2,32.12,3.33,23.919999999999998,28.79,17.11,8.2,11.0,75.86,23.919999999999998,28.79
210906_16,89.38,APOE44,female ,Sedentary,HFD,33.5,13.7,2.22,22.67,30.33,14.055,-9.703333333333333,0.9671850262251406,0.16354074625570364,18.406666666666666,38.945,28.11,9.65,38.18,8.57,28.53,29.61,2.22,9.65,14.055,89.38,28.53,29.61
210906_17,82.89,APOE44,female,Sedentary,HFD,25.7,13.7,24.33,58.33,90.44,33.055,-8.410000000000004,0.9998638087155248,0.010506902635824555,57.699999999999996,115.71499999999999,66.11,1.0,27.25,1.27,26.25,25.98,24.33,1.0,33.055,82.89,26.25,25.98
210906_18,84.92,APOE44,female ,Sedentary,HFD,34.5,13.7,1.22,9.33,42.33,20.555,-23.483333333333334,0.9439889618274888,0.21408201419430414,17.626666666666665,31.104999999999997,41.11,4.72,33.08,7.86,28.36,25.22,1.22,4.72,20.555,84.92,28.36,25.22
210906_19,99.31,APOE44,male,Sedentary,HFD,50.0,15.3333333333333,12.0,84.89,93.22,40.61,-17.849999999999994,0.9088616935425403,0.27390536710481217,63.370000000000005,137.5,81.22,41.61,35.51,6.13,-6.100000000000001,29.38,12.0,41.61,40.61,99.31,-6.100000000000001,29.38
210906_2,90.76,APOE22HN,female,Sedentary,Control,22.0,14.33,5.44,0.0,32.56,13.560000000000002,-14.453333333333338,0.7774547754207755,0.43302084276607333,12.666666666666666,19.0,27.12,19.26,23.0,2.81,3.7399999999999984,20.19,5.44,19.26,13.560000000000002,90.76,3.7399999999999984,20.19
210906_20,97.67,APOE44,male,Sedentary,HFD,54.0,15.3333333333333,12.78,57.44,43.56,15.39,7.146666666666668,0.6733249022679553,0.5297310671535111,37.92666666666667,85.61,30.78,25.35,53.08,8.63,27.729999999999997,44.449999999999996,12.78,25.35,15.39,97.67,27.729999999999997,44.449999999999996
210906_21,80.72,APOE44,male,Sedentary,HFD,49.0,15.3333333333333,20.56,46.44,83.89,31.665,-13.033333333333339,0.994483152547953,0.06690221121686109,50.29666666666666,98.66499999999999,63.33,1.67,47.22,5.64,45.55,41.58,20.56,1.67,31.665,80.72,45.55,41.58
210906_22,96.51,APOE44,male,Sedentary,HFD,57.0,15.3333333333333,0.0,63.0,83.56,41.78,-34.70666666666667,0.9595943743737907,0.18158890997612545,48.85333333333333,104.78,83.56,44.13,52.29,4.55,8.159999999999997,47.74,0.0,44.13,41.78,96.51,8.159999999999997,47.74
