Animal ID,PHENO_context_memory,Sex,Genotype,Diet,Lifestyle,Age_Months
220509_1,88.77,male,APOE22,HFD,Sedentary,20.23333333
220509_4,53.77,female,APOE22,HFD,Sedentary,20.23333333
220509_7,83.97,male,APOE33,HFD,Sedentary,21.46666667
220509_8,99.21,female,APOE33,HFD,Sedentary,20.36666667
220509_10,60.83,female,APOE33,HFD,Sedentary,20.36666667
220509_11,96.42,female,APOE44,Control,Sedentary,19.53333333
220509_12,43.46,female,APOE22,Control,Sedentary,13.4
220509_13,87.86,female,APOE22,Control,Sedentary,13.16666667
220509_14,72.38,female,APOE22,Control,Sedentary,13.16666667
220606_1,95.87,male,APOE33HN,Control,Sedentary,19.4
220606_2,84.24,female,APOE44HN,Control,Sedentary,20.6333333333333
220606_3,89.34,female,APOE44HN,Control,Sedentary,20.6333333333333
220606_4,71.14,female,APOE44HN,Control,Sedentary,20.6333333333333
220606_5,85.78,female,APOE44HN,Control,Sedentary,20.6
220606_6,63.64,female,APOE44HN,Control,Sedentary,20.6
220808_6,96.03,female,APOE22HN,Control,Sedentary,21.5
220808_7,93.56,female,APOE22HN,Control,Sedentary,21.5
220808_8,89.67,female,APOE22HN,Control,Sedentary,21.5
220808_9,99.14,female,APOE22HN,HFD,Sedentary,19.3
220808_10,98.41,female,APOE22HN,HFD,Sedentary,19.1
220808_11,99.27,female,APOE22HN,HFD,Sedentary,19.1
220808_12,99.76,female,APOE22HN,HFD,Sedentary,19.1
220808_13,99.96,male,APOE22HN,HFD,Sedentary,20.4
220808_14,98.96,male,APOE22HN,HFD,Sedentary,20.4
220808_15,97.67,male,APOE22HN,HFD,Sedentary,20.4
220808_16,98.84,male,APOE22HN,HFD,Sedentary,20.4
220808_17,99.91,male,APOE22HN,HFD,Sedentary,20.4
220404_1,91.42,female ,APOE22,HFD,Sedentary,14.8
220404_2,85.69,female ,APOE22,HFD,Sedentary,14.8
220404_3,96.59,female ,APOE22,HFD,Sedentary,14.8
220404_4,83.93,female ,APOE22,HFD,Sedentary,14.8
220404_5,99.02,female ,APOE22,HFD,Sedentary,12.2666666666667
220404_6,97.66,male,APOE22,HFD,Sedentary,14.8
220404_7,98.56,male,APOE22,HFD,Sedentary,14.8
220404_8,91.56,male,APOE22,HFD,Sedentary,14.4
220404_9,78.67,male,APOE22,HFD,Sedentary,14.4
220404_10,82.99,male,APOE22,HFD,Sedentary,14.4
220404_11,97.32,male,APOE22HN,Control,Sedentary,21.2333333333333
220404_13,87.86,male,APOE22HN,Control,Sedentary,21.2333333333333
220307_11,92.3,female ,APOE22HN,Control,Sedentary,19.47
220307_12,95.93,female ,APOE22HN,Control,Sedentary,19.47
220307_13,99.43,female ,APOE22HN,Control,Sedentary,19.47
221101_1,98.8,male,APOE44,HFD,Sedentary,13.1333333333333
221101_2,84.73,male,APOE44,HFD,Sedentary,13.1333333333333
221101_4,87.08,female,APOE44HN,HFD,Sedentary,24.8333333333333
221101_5,91.5,male,APOE44HN,Control,Sedentary,16.8
221101_6,94.13,male,APOE44HN,Control,Sedentary,16.8
221101_7,97.11,female,APOE44,Control,Exercise,19.4
221101_8,82.03,female,APOE44,Control,Exercise,19.4
221101_9,98.24,female,APOE44,Control,Exercise,19.4
221101_10,95.33,male,APOE44,Control,Exercise,19.4
221101_11,98.18,male,APOE44,Control,Exercise,19.4
221101_12,92.33,male,APOE44,Control,Exercise,19.4
221101_19,97.17,male,APOE22HN,Control,Sedentary,15.6666666666667
221101_20,51.88,female,APOE44HN,Control,Exercise,18.1
221101_22,73.07,female,APOE44HN,Control,Exercise,18.1
221101_23,99.9,female,APOE44HN,Control,Exercise,18.1
221101_24,86.66,female,APOE44HN,Control,Exercise,18.1
220905_1,90.29,male,APOE44,HFD,Sedentary,20.2
220905_2,67.22,female,APOE44,HFD,Sedentary,20.2
220905_3,93.03,male,APOE44,HFD,Sedentary,20.2
220905_4,97.57,male,APOE33HN,Control,Exercise,18.0666666666667
220905_5,96.01,male,APOE33HN,Control,Exercise,18.0666666666667
220905_6,76.91,male,APOE33HN,Control,Exercise,18.0666666666667
220905_7,84.1,male,APOE44,HFD,Sedentary,20.2
220905_8,93.68,female,APOE44,HFD,Sedentary,20.2
220905_9,99.37,male,APOE44,HFD,Sedentary,20.2
220905_10,96.72,male,APOE22HN,Control,Sedentary,20.4
220905_11,99.32,male,APOE22HN,Control,Sedentary,20.4
220905_12,95.21,male,APOE22HN,Control,Sedentary,20.4
220905_13,99.49,female,APOE33,Control,Exercise,17.5
220905_14,97.49,female,APOE33,Control,Exercise,17.7666666666667
220905_15,98.13,female,APOE33,Control,Exercise,17.7666666666667
220905_16,98.01,female,APOE33,Control,Exercise,17.5
220905_17,98.44,female,APOE33,Control,Exercise,17.5
