Animal ID,PHENO_learning,Sex,Genotype,Diet,Lifestyle,Age_Months
220509_1,12.555,male,APOE22,HFD,Sedentary,20.23333333
220509_4,17.72,female,APOE22,HFD,Sedentary,20.23333333
220509_7,37.945,male,APOE33,HFD,Sedentary,21.46666667
220509_8,39.165,female,APOE33,HFD,Sedentary,20.36666667
220509_10,12.39,female,APOE33,HFD,Sedentary,20.36666667
220509_11,32.5,female,APOE44,Control,Sedentary,19.53333333
220509_12,12.61,female,APOE22,Control,Sedentary,13.4
220509_13,25.28,female,APOE22,Control,Sedentary,13.16666667
220509_14,14.28,female,APOE22,Control,Sedentary,13.16666667
220606_1,20.28,male,APOE33HN,Control,Sedentary,19.4
220606_2,34.78,female,APOE44HN,Control,Sedentary,20.6333333333333
220606_3,15.61,female,APOE44HN,Control,Sedentary,20.6333333333333
220606_4,15.945,female,APOE44HN,Control,Sedentary,20.6333333333333
220606_5,31.445,female,APOE44HN,Control,Sedentary,20.6
220606_6,16.055,female,APOE44HN,Control,Sedentary,20.6
220808_6,19.055,female,APOE22HN,Control,Sedentary,21.5
220808_7,19.335,female,APOE22HN,Control,Sedentary,21.5
220808_8,19.0,female,APOE22HN,Control,Sedentary,21.5
220808_9,31.385,female,APOE22HN,HFD,Sedentary,19.3
220808_10,23.885,female,APOE22HN,HFD,Sedentary,19.1
220808_11,40.0,female,APOE22HN,HFD,Sedentary,19.1
220808_12,38.835,female,APOE22HN,HFD,Sedentary,19.1
220808_13,42.885,male,APOE22HN,HFD,Sedentary,20.4
220808_14,8.055,male,APOE22HN,HFD,Sedentary,20.4
220808_15,34.945,male,APOE22HN,HFD,Sedentary,20.4
220808_16,29.445,male,APOE22HN,HFD,Sedentary,20.4
220808_17,32.385,male,APOE22HN,HFD,Sedentary,20.4
220404_1,24.835,female ,APOE22,HFD,Sedentary,14.8
220404_2,22.89,female ,APOE22,HFD,Sedentary,14.8
220404_3,43.61,female ,APOE22,HFD,Sedentary,14.8
220404_4,20.555,female ,APOE22,HFD,Sedentary,14.8
220404_5,35.615,female ,APOE22,HFD,Sedentary,12.2666666666667
220404_6,40.835,male,APOE22,HFD,Sedentary,14.8
220404_7,37.445,male,APOE22,HFD,Sedentary,14.8
220404_8,28.39,male,APOE22,HFD,Sedentary,14.4
220404_9,33.945,male,APOE22,HFD,Sedentary,14.4
220404_10,28.445,male,APOE22,HFD,Sedentary,14.4
220404_11,42.11,male,APOE22HN,Control,Sedentary,21.2333333333333
220404_13,25.774999999999995,male,APOE22HN,Control,Sedentary,21.2333333333333
220307_11,20.28,female ,APOE22HN,Control,Sedentary,19.47
220307_12,24.22,female ,APOE22HN,Control,Sedentary,19.47
220307_13,21.665,female ,APOE22HN,Control,Sedentary,19.47
221101_1,5.17,male,APOE44,HFD,Sedentary,13.1333333333333
221101_2,4.72,male,APOE44,HFD,Sedentary,13.1333333333333
221101_4,13.61,female,APOE44HN,HFD,Sedentary,24.8333333333333
