node_i,node_j,t,p,r_residualized,suprathreshold,i_index,i_Structure,i_Abbreviation,i_Hemisphere,i_Level_1,i_Level_2,i_Level_3,i_Level_4,i_Subdivisions_7,i_Subdivisions_7_nowm,j_index,j_Structure,j_Abbreviation,j_Hemisphere,j_Level_1,j_Level_2,j_Level_3,j_Level_4,j_Subdivisions_7,j_Subdivisions_7_nowm,edge_label,edge_structure,direction
6,16,3.8114459879219313,0.0001971561755843,0.2893384093885968,True,7,Cingulate_Cortex_Area_29c,A29c,Left,1_forebrain,1_secondary_prosencephalon,1_isocortex,2_cingulate_cortex,1_isocortex,1_isocortex,17,Lateral_Orbital_Cortex,LO,Left,1_forebrain,1_secondary_prosencephalon,1_isocortex,1_frontal_cortex,1_isocortex,1_isocortex,A29c - LO,Cingulate_Cortex_Area_29c - Lateral_Orbital_Cortex,positive
16,94,-3.713663785401379,0.0002822844925676,-0.2825150889368961,True,17,Lateral_Orbital_Cortex,LO,Left,1_forebrain,1_secondary_prosencephalon,1_isocortex,1_frontal_cortex,1_isocortex,1_isocortex,95,Fastigial_Medial_Nucleus_of_Cerebellum,FasMed,Left,3_hindbrain,1_prepontine_hindbrain,isthmus,2_cerebellum,6_hindbrain,6_hindbrain,LO - FasMed,Lateral_Orbital_Cortex - Fastigial_Medial_Nucleus_of_Cerebellum,negative
16,163,3.580005330636063,0.0004559715287418,0.2731186250808275,True,17,Lateral_Orbital_Cortex,LO,Left,1_forebrain,1_secondary_prosencephalon,1_isocortex,1_frontal_cortex,1_isocortex,1_isocortex,164,Prerubral_Forel,PR_p3Tg_L,Left,1_forebrain,2_diencephalon,p2_and_p3,17_thalamus,4_diencephalon,4_diencephalon,LO - PR_p3Tg_L,Lateral_Orbital_Cortex - Prerubral_Forel,positive
16,280,3.61871459608269,0.0003973764926492,0.2758481562706996,True,17,Lateral_Orbital_Cortex,LO,Left,1_forebrain,1_secondary_prosencephalon,1_isocortex,1_frontal_cortex,1_isocortex,1_isocortex,281,Vestibular_Nuclei,Ve,Right,3_hindbrain,3_pontomedullary_hindbrain,r3_to_r9,1_pons,6_hindbrain,6_hindbrain,LO - Ve,Lateral_Orbital_Cortex - Vestibular_Nuclei,positive
78,279,-3.985864355347929,0.0001022099453386,-0.3014002502783534,True,79,Subbrachial_Nucleus_and_Peripeduncular_Nucleus,Sub_PP,Left,1_forebrain,2_diencephalon,p3,3_middbrain_tectum,4_diencephalon,4_diencephalon,280,Spinal_Trigeminal_Nucleus,Sp5,Right,3_hindbrain,3_pontomedullary_hindbrain,r3_to_r11,1_pons,6_hindbrain,6_hindbrain,Sub_PP - Sp5,Subbrachial_Nucleus_and_Peripeduncular_Nucleus - Spinal_Trigeminal_Nucleus,negative
94,279,-3.89601857715472,0.0001437540332324,-0.29520463465252,True,95,Fastigial_Medial_Nucleus_of_Cerebellum,FasMed,Left,3_hindbrain,1_prepontine_hindbrain,isthmus,2_cerebellum,6_hindbrain,6_hindbrain,280,Spinal_Trigeminal_Nucleus,Sp5,Right,3_hindbrain,3_pontomedullary_hindbrain,r3_to_r11,1_pons,6_hindbrain,6_hindbrain,FasMed - Sp5,Fastigial_Medial_Nucleus_of_Cerebellum - Spinal_Trigeminal_Nucleus,negative
104,211,-4.236347160978732,3.835337438462689e-05,-0.3184713623653462,True,105,Raphe_Nucleus,Raph,Left,3_hindbrain,1_prepontine_hindbrain,r1_and_r2,3_pontomedullary_hindbrain,6_hindbrain,6_hindbrain,212,Ventral_Intermediate_Entorhinal_Cortex,VIEnt,Right,1_forebrain,1_secondary_prosencephalon,4_dorsal_pallium,3_temporal_cortex,2_pallium,2_pallium,Raph - VIEnt,Raphe_Nucleus - Ventral_Intermediate_Entorhinal_Cortex,negative
104,280,-3.8911622245178807,0.0001464053401758,-0.2948686769998933,True,105,Raphe_Nucleus,Raph,Left,3_hindbrain,1_prepontine_hindbrain,r1_and_r2,3_pontomedullary_hindbrain,6_hindbrain,6_hindbrain,281,Vestibular_Nuclei,Ve,Right,3_hindbrain,3_pontomedullary_hindbrain,r3_to_r9,1_pons,6_hindbrain,6_hindbrain,Raph - Ve,Raphe_Nucleus - Vestibular_Nuclei,negative
129,131,-3.385624028307648,0.0008947646271223,-0.2593130451279613,True,130,Mamillothalamic_Tract,mt,Left,4_white_matter_tracts,forebrain_white_matter,diencephalon_white_matter,white_matter,7_whitematter,4_diencephalon,132,Brachium_of_Superior_Colliculus,bsc,Left,4_white_matter_tracts,midbrain_white_matter,colliculi_white_matter,white_matter,7_whitematter,4_diencephalon,mt - bsc,Mamillothalamic_Tract - Brachium_of_Superior_Colliculus,negative
131,174,-4.261572423760825,3.466672572595187e-05,-0.3201738162908178,True,132,Brachium_of_Superior_Colliculus,bsc,Left,4_white_matter_tracts,midbrain_white_matter,colliculi_white_matter,white_matter,7_whitematter,4_diencephalon,175,Cingulate_Cortex_Area_32,A32,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,2_cingulate_cortex,1_isocortex,1_isocortex,bsc - A32,Brachium_of_Superior_Colliculus - Cingulate_Cortex_Area_32,negative
