NBS analysis summary
====================

Phenotype: PHENO_context_memory
N subjects: 161
N nodes: 324
N valid edges: 46971
Primary edge threshold p < 0.001
N permutations: 1000
Two-sided: True
Observed suprathreshold edges: 70

Top observed components:
 component_id  n_nodes  n_edges  component_mass_abs_t                                                                      nodes  p_nbs_size  p_nbs_mass
            6       20       20             75.342270 6,16,78,94,104,129,131,142,163,174,176,210,211,224,242,275,279,280,293,298    0.150849    0.144855
           43       10        9             35.869412                                     44,152,165,194,202,205,206,213,288,311    0.338661    0.301698
           48        5        4             13.994093                                                         49,112,148,154,283    0.696304    0.686314
           59        5        4             15.147610                                                          60,79,149,207,316    0.696304    0.599401
           65        5        4             14.525055                                                           67,84,98,172,292    0.696304    0.640360
           39        4        3             10.380851                                                              40,93,223,284    0.817183    0.810190
          134        3        2              7.015048                                                                151,180,267    0.953047    0.930070
           10        3        2              7.062759                                                                  10,97,318    0.953047    0.926074
          151        3        2              7.442370                                                                175,216,235    0.953047    0.871129
          139        3        2              7.196163                                                                158,160,323    0.953047    0.905095
