node_id,n_suprathreshold_edges,rank
16,4,1
131,4,2
148,4,3
174,4,4
205,4,5
279,4,6
149,3,7
172,3,8
242,3,9
280,3,10
40,2,11
44,2,12
60,2,13
94,2,14
104,2,15
180,2,16
194,2,17
211,2,18
213,2,19
216,2,20
318,2,21
284,2,22
206,2,23
292,2,24
323,2,25
288,2,26
298,2,27
3,1,28
6,1,29
9,1,30
10,1,31
30,1,32
48,1,33
49,1,34
50,1,35
54,1,36
67,1,37
74,1,38
78,1,39
84,1,40
91,1,41
93,1,42
97,1,43
98,1,44
112,1,45
116,1,46
129,1,47
142,1,48
147,1,49
151,1,50
152,1,51
156,1,52
158,1,53
160,1,54
167,1,55
168,1,56
173,1,57
175,1,58
176,1,59
181,1,60
182,1,61
202,1,62
210,1,63
239,1,64
274,1,65
285,1,66
77,1,67
163,1,68
225,1,69
223,1,70
165,1,71
198,1,72
63,1,73
222,1,74
79,1,75
238,1,76
278,1,77
287,1,78
293,1,79
186,1,80
154,1,81
283,1,82
207,1,83
316,1,84
189,1,85
300,1,86
195,1,87
203,1,88
224,1,89
275,1,90
267,1,91
303,1,92
320,1,93
311,1,94
235,1,95
254,1,96
302,1,97
