node_id,n_edges_in_component,component_rank,component_id,component_n_nodes,component_n_edges,p_nbs_size,p_nbs_mass
16,4,1,6,20,20,0.1508491508491508,0.1448551448551448
131,4,1,6,20,20,0.1508491508491508,0.1448551448551448
174,4,1,6,20,20,0.1508491508491508,0.1448551448551448
279,4,1,6,20,20,0.1508491508491508,0.1448551448551448
242,3,1,6,20,20,0.1508491508491508,0.1448551448551448
280,3,1,6,20,20,0.1508491508491508,0.1448551448551448
94,2,1,6,20,20,0.1508491508491508,0.1448551448551448
104,2,1,6,20,20,0.1508491508491508,0.1448551448551448
211,2,1,6,20,20,0.1508491508491508,0.1448551448551448
298,2,1,6,20,20,0.1508491508491508,0.1448551448551448
6,1,1,6,20,20,0.1508491508491508,0.1448551448551448
78,1,1,6,20,20,0.1508491508491508,0.1448551448551448
129,1,1,6,20,20,0.1508491508491508,0.1448551448551448
142,1,1,6,20,20,0.1508491508491508,0.1448551448551448
176,1,1,6,20,20,0.1508491508491508,0.1448551448551448
210,1,1,6,20,20,0.1508491508491508,0.1448551448551448
163,1,1,6,20,20,0.1508491508491508,0.1448551448551448
293,1,1,6,20,20,0.1508491508491508,0.1448551448551448
224,1,1,6,20,20,0.1508491508491508,0.1448551448551448
275,1,1,6,20,20,0.1508491508491508,0.1448551448551448
205,4,2,43,10,9,0.3386613386613387,0.3016983016983017
44,2,2,43,10,9,0.3386613386613387,0.3016983016983017
194,2,2,43,10,9,0.3386613386613387,0.3016983016983017
213,2,2,43,10,9,0.3386613386613387,0.3016983016983017
206,2,2,43,10,9,0.3386613386613387,0.3016983016983017
288,2,2,43,10,9,0.3386613386613387,0.3016983016983017
152,1,2,43,10,9,0.3386613386613387,0.3016983016983017
202,1,2,43,10,9,0.3386613386613387,0.3016983016983017
165,1,2,43,10,9,0.3386613386613387,0.3016983016983017
311,1,2,43,10,9,0.3386613386613387,0.3016983016983017
148,4,3,48,5,4,0.6963036963036963,0.6863136863136863
49,1,3,48,5,4,0.6963036963036963,0.6863136863136863
112,1,3,48,5,4,0.6963036963036963,0.6863136863136863
154,1,3,48,5,4,0.6963036963036963,0.6863136863136863
283,1,3,48,5,4,0.6963036963036963,0.6863136863136863
149,3,4,59,5,4,0.6963036963036963,0.5994005994005994
60,2,4,59,5,4,0.6963036963036963,0.5994005994005994
79,1,4,59,5,4,0.6963036963036963,0.5994005994005994
207,1,4,59,5,4,0.6963036963036963,0.5994005994005994
316,1,4,59,5,4,0.6963036963036963,0.5994005994005994
172,3,5,65,5,4,0.6963036963036963,0.6403596403596403
292,2,5,65,5,4,0.6963036963036963,0.6403596403596403
67,1,5,65,5,4,0.6963036963036963,0.6403596403596403
84,1,5,65,5,4,0.6963036963036963,0.6403596403596403
98,1,5,65,5,4,0.6963036963036963,0.6403596403596403
40,2,6,39,4,3,0.8171828171828172,0.8101898101898102
284,2,6,39,4,3,0.8171828171828172,0.8101898101898102
93,1,6,39,4,3,0.8171828171828172,0.8101898101898102
223,1,6,39,4,3,0.8171828171828172,0.8101898101898102
180,2,7,134,3,2,0.9530469530469532,0.93006993006993
151,1,7,134,3,2,0.9530469530469532,0.93006993006993
267,1,7,134,3,2,0.9530469530469532,0.93006993006993
